Auteur;Identifiant auteur;Titre;Directeur de these;Directeur de these (nom prenom);Identifiant directeur;Etablissement de soutenance;Identifiant etablissement;Discipline;Statut;Date de premiere inscription en doctorat;Date de soutenance;Langue de la these;Identifiant de la these;Accessible en ligne;Publication dans theses.fr;Mise a jour dans theses.fr
Alban Rodriguez;;La facade maritime de l'andalousie grenadine : genese et evolution des territoires.;Andre Humbert;Humbert Andre;;Montpellier 3;26404702;Geographie;enCours;01-10-2005;;;s56030;non;26-09-2011;22-01-2015
Marie-noelle Katchadourian (Rouspide);;Le juge et le contrat de travail, essai sur la relecture judiciaire d'un contrat;Bernard Teyssie;Teyssie Bernard;27158578;Paris 2;26403145;Droit prive;enCours;01-10-2005;15-06-2013;;s56060;non;26-09-2011;17-06-2013
Maminiaina Ramamonjisoa;;L'impact de la gestion de l'espace sur le developpement humain. l'exemple des zones rurales du nord-est d'antananarivo, madagascar (developpement durable);Sylvie Brunel;Brunel Sylvie;;Montpellier 3;26404702;Geographie;enCours;01-01-2006;;;s56068;non;26-09-2011;22-01-2015
Manda Randrianatsimbazafy;;Analyse de reseaux sociaux de dirigeants de pme : cas madagascar.;Olivier Toraes;Toraes Olivier;;Montpellier 3;26404702;Sciences de gestion;enCours;01-11-2005;;;s56070;non;26-09-2011;22-01-2015
Satoko Takizawa;;Les heritieres et la reproduction familiale dans la noblesse en france aux xvieme-xviieme siecles;Michel Nassiet;Nassiet Michel;29980135;Angers;26402920;Histoire;enCours;01-12-2005;;;s61613;non;26-09-2011;22-01-2015
Cecile Tapia-faliere;;Evolution des amenagements liturgiques en aragon et en navarre au xieme siecle;Eric Palazzo,Milagros Guardia pons;Palazzo Eric,Guardia pons Milagros;30391474;Poitiers;26403765;Histoire de l'art;enCours;01-01-2006;;;s61614;non;26-09-2011;05-04-2016
Aurelia Trainor;;''cirque ici'' une pratique qui interroge frontieres et identites artistiques.;Luc Boucris;Boucris Luc;32070403;Montpellier 3;26404702;Etudes theatrales;enCours;02-11-2006;;;s61637;non;26-09-2011;22-01-2015
Serge Taormina;;Les secreta fidelium crucis, de marino sarudo l'ancien, introduction, traduction et commentaire.;Gerard Dedeyan;Dedeyan Gerard;60151900;Montpellier 3;26404702;Histoire;enCours;07-11-2006;;;s61643;non;26-09-2011;05-04-2016
Frantz Toyo;;Haiti :l'evolution de la condition feminine de 1804 a nos jours, un processus difficile a consolider dans une societe patriarcale.;Jacques Poumarede;Poumarede Jacques;28972023;Toulouse 1;26404354;Histoire du droit et des institutions;enCours;06-11-2006;;;s61667;non;26-09-2011;04-04-2016
Benedicte Trugeon;;Syndrome de Turner: comprehension verbale, production narrative et memoire de travail;Monique Plaza;Plaza Monique;28810163;Paris 5;26404788;Psychologie;enCours;26-09-2006;30-11-2010;;s61675;non;26-09-2011;10-01-2012
Ousmane ndiogou Thiaw;;La theorie de l'ellipse dans l'oeuvre des savants arabes du langage.;Hassan Hamze;Hamze Hassan;32601859;Lyon 2;02640334X;Sciences du langage;enCours;07-12-2007;14-06-2013;;s62083;non;26-09-2011;04-04-2016
Aminata kola Tall;;Les normes de droit international et developpement durable au mali.;Mohamed salah Helali;Helali Mohamed salah;;Universite de Lorraine;157040569;Droit public;enCours;14-12-2007;;;s62146;non;26-09-2011;28-06-2013
Jean-baptiste Simon;;L'oeuvre tissee de jean lurcat;Gerard Denizeau;Denizeau Gerard;31515207;Universite de Lorraine;157040569;Histoire de l'art;enCours;01-11-2005;;;s59101;non;26-09-2011;05-04-2016
David Sobor;;Les conflits d'interets en droit des societes francais et hongrois;Michel Germain,Peter Miskolczi bopnar;Germain Michel,Miskolczi bopnar Peter;30044456;Paris 2;26403145;Droit prive;enCours;25-02-2007;;;s59115;non;26-09-2011;13-02-2012
Dominique Starches beveraggi;;Approche communicationnelle d'une chronemique insulaire.;Francoise Albertini;Albertini Francoise;;Corte;29473284;Sciences de l'information et de la communication;enCours;26-01-2006;;;s59128;non;26-09-2011;22-01-2015
Maddalena Serpentini;;Etude d'une methode d'evaluation de la viabilite des exploitations agricoles corses : le modele de la logique floue appliquee a la viticulture.;Bernard Fustier,Jacques Orsoni;Fustier Bernard,Orsoni Jacques;26877066,0270537;Corte;29473284;Sciences de gestion;enCours;15-11-2006;;;s59136;non;26-09-2011;22-01-2015
Beatrice Scutaru;;Les relations entre les societes francaise et roumaine : conditions et perspectives de l'ancrage de la Roumanie a l'Europe (des annees 1960 a 1995);Yves Denechere;Denechere Yves;50803115;Angers;26402920;Histoire;enCours;04-09-2008;18-09-2013;;s60723;non;26-09-2011;05-04-2016
Younes Sanade;;Contribution a letude de lEconomie Sociale et Solidaire et son role restrictif de lExode rural et de lEmigration clandestine au Maroc : cas de la region de Beni Meskine Al Gharbia;Michel Castellani;Castellani Michel;;Corte;29473284;Sciences economiques;enCours;12-10-2010;18-12-2015;;s60733;non;26-09-2011;05-04-2016
Alexandra Reymond;;Identite sociale et langage : l'effet de resonance des mots identitaires.;Anne-Marie Costalat-Founeau;Costalat-Founeau Anne-Marie;35104414;Montpellier 3;26404702;Psychologie;enCours;10-10-2006;;;s56106;non;26-09-2011;05-04-2016
Juan Roman calderon;;La dimension ideologique du contrat psychologique dans l'entreprise sociale;Adalgisa Battistelli,Carlo Odoardi;Battistelli Adalgisa,Odoardi Carlo;,;Montpellier 3;26404702;Psychologie;enCours;06-01-2011;29-05-2013;;s57804;non;26-09-2011;20-02-2014
Patricia Rousseau;;Le corps en vitrine. Les dispositifs museographiques et la place des restes humains dans les collections de musee, entre science et ethique;Serge Chaumier;Chaumier Serge;;Dijon;02819005X;Sciences de l'information et de la communication;enCours;06-01-2011;19-12-2014;;s57807;non;26-09-2011;24-06-2015
Carole Racon;;La representation de la maison close dans le roman dominicain contemporain : espace de transgression ?;Maryse Renaud;Renaud Maryse;34119590;Poitiers;26403765;Langues et litteratures;enCours;01-10-2006;17-05-2014;;s56466;non;26-09-2011;22-10-2014
Fernando Rodriguez ruiz;;La conceptualisation dans l'enseignement-apprentissage des disciplines non linguistiques en francais langue non maternelle et/ou de scolarisation.;Michele Verdelhan-Bourgade;Verdelhan-Bourgade Michele;58613455;Montpellier 3;26404702;Sciences du langage;enCours;11-09-2007;;;s56504;non;26-09-2011;04-04-2016
Philippe Ristord;;De la formation initiale a la formation continue : quelles dynamiques contradictoire ? le cas des mfr;Frederique Lerbet-Sereni;Lerbet-Sereni Frederique;33846936;Pau;26403668;Sciences de l'education;enCours;12-01-2009;;;s56921;non;26-09-2011;05-04-2016
Benoit Riou;;Une vision integrative des liens entre memoire et perception dans une approche fonctionnelle de la memoire;Remy Versace;Versace Remy;31818854;Lyon 2;02640334X;Psychologie;enCours;01-12-2008;21-06-2012;;s56934;non;26-09-2011;04-04-2016
Voara Rheal razafindrambinina;;La concurrence des organisations internationales dans la mise en place des politiques publiques environnementales de developpement a madagascar: contribution a l'etude d'une specificite de l'oif en matiere de politique de developpement.;Fabrice Hourquebie;Hourquebie Fabrice;57723338;Toulouse 1;26404354;Droit public;enCours;01-10-2008;;;s56982;non;26-09-2011;22-01-2015
David Roubeau;;L'intervention du juge dans l'administration de la preuve.;Jean Deveze;Deveze Jean;;Toulouse 1;26404354;Droit prive;enCours;01-10-2008;;;s56984;non;26-09-2011;22-01-2015
Rania Alsamman (Rejouleh);;La jalousie, du drame a la dedramatisation : proust et aragon;Colette Camelin;Camelin Colette;50128701;Poitiers;26403765;Litteratures francaise et francophone;enCours;10-10-2008;;;s56991;non;26-09-2011;22-01-2015
David Robin;;Usages et benefices de la 3D en maintenance aeronautique.;Andre Tricot,Pascale Hugues;Tricot Andre,Hugues Pascale;50726129,0357539;Toulouse 2;26403994;Ergonomie;enCours;01-10-2008;19-03-2012;;s56997;non;26-09-2011;04-04-2016
Anais Schill;;La nature et la portee juridiques des resolutions thematiques du conseil de securite;Emmanuel Decaux;Decaux Emmanuel;26816326;Paris 2;26403145;Droit international;enCours;09-11-2010;;;s60756;non;26-09-2011;04-04-2016
Rena Tassel (Tatsuda);;Comment developper la pratique de la justice reparatrice devant la justice penale internationale ?;Didier Rebut;Rebut Didier;60768991;Paris 2;26403145;Droit penal et sciences criminelles;enCours;02-11-2009;;;s62520;non;26-09-2011;16-12-2011
Remy Ramadour;;La guerre des mondes : theorie du conflit;Jean-Claude Bourdin;Bourdin Jean-Claude;32088043;Poitiers;26403765;Philosophie (metaphysique, epistemologie, esthetique);enCours;19-10-2007;;;s56549;non;26-09-2011;04-04-2016
Octavian Rusu;;La politique etrangere et de securite de la russie.;Jean-Louis Loubet del Bayle,Alexandre Burian,Alexandre Burian;Loubet del Bayle Jean-Louis,Burian Alexandre,Burian Alexandre;026995328,,;Toulouse 1;26404354;Science politique;enCours;10-09-2007;;;s56554;non;26-09-2011;04-04-2016
H asli Sumer;;Le nationalisme turc dans les annees 2000.;Hamit Bozarslan;Bozarslan Hamit;03379930X;Paris, EHESS;26374889;Sociologie;enCours;01-12-2005;;;s58306;non;26-09-2011;16-09-2011
Meryem Landoulsi (Sellami);;Du paraitre a l'etre : culte de la purete et construction de soi chez les adolescentes tunisiennes;David Le Breton;Le Breton David;26971895;Strasbourg;131056549;Sociologie;enCours;01-09-2005;29-09-2011;;s58307;non;26-09-2011;04-04-2016
Carine Signoret;;Etudes comportementales et electrophysiologiques de la detection non consciente du signal de parole.;Barbara Tillmann,Fabien Perrin;Tillmann Barbara,Perrin Fabien;,;Lyon 2;02640334X;Psychologie;enCours;01-10-2005;10-06-2010;;s58322;non;26-09-2011;30-03-2016
Romain Riollet;;Strategies d'acteurs dans la revision du marche europeen du co2;Jean-Yves Nevers,Marie-Christine Zelem;Nevers Jean-Yves,Zelem Marie-Christine;57113483,1430251;Toulouse 2;26403994;Sociologie;enCours;01-10-2008;;;s57003;non;26-09-2011;05-04-2016
Cielo elainne Rusinque urrego;;Le nouveau constitutionalisme face a l'integration politique;Jean-Claude Martinez;Martinez Jean-Claude;34680888;Paris 2;26403145;Droit public;enCours;20-02-2009;;;s57012;non;26-09-2011;15-02-2012
Noa Parizot (Shuval);;Traitement et representations des constituants nies et repares;Barbara Hemforth;Hemforth Barbara;;Paris 5;26404788;Psychologie;enCours;01-10-2006;28-11-2011;;s58729;non;26-09-2011;10-01-2012
Laurent Saccaro;;Le gout du moyen age en Bourgogne : le chateau de la Rochepot (XIXeme - XXeme siecles);Daniel Russo;Russo Daniel;;Dijon;02819005X;Histoire arts;enCours;;09-11-2013;fr;s58736;non;26-09-2011;12-12-2013
Hugues Seraphin;;L'enseignement du tourisme en France et au Royaume Uni : histoire, comparaisons,analyses et perspectives;Michel Cade;Cade Michel;;Perpignan;26403692;Histoire;enCours;12-01-2007;03-12-2011;;s58752;non;26-09-2011;05-12-2011
Alan Sevellec;;Le realisme chez le dernier nerval;Alain Nery;Nery Alain;77014677;Angers;26402920;Litteratures et civilisations comparees;enCours;01-12-2006;;;s58779;non;26-09-2011;05-04-2016
Colin Solignac;;Systeme territorial d'insertion - organisation et decision des organismes d'aide sociale a l'enfance en haute-garonne;Jean-Claude Lugan;Lugan Jean-Claude;02699769X;Toulouse 1;26404354;Sociologie;enCours;06-11-2006;;;s58784;non;26-09-2011;05-04-2016
Frederic Rasera;;Une ethnographie du metier de footballeur;Sylvia Faure,Stephane Beaud;Faure Sylvia,Beaud Stephane;52264025,0352793;Lyon 2;02640334X;Sociologie;enCours;06-04-2010;03-12-2012;;s57395;non;26-09-2011;30-03-2016
Cristiana Teixeira de Oliveira;;La mise en tourisme d'une tradition : le cas du tourisme equestre au Portugal;Christian Bataillou;Bataillou Christian;68453094;Perpignan;26403692;Sciences du tourisme;enCours;01-05-2005;12-12-2009;;s61322;non;26-09-2011;31-01-2013
Doriele Duvernoy (Silva de andrade costa);;Les elements formateurs de l'educommunicateur a travers le travail en partenariat entre les enseignants et les journalistes : le cas de l'education aux medias au Bresil et en France.;Jean-Claude Regnier;Regnier Jean-Claude;70335559;Lyon 2;02640334X;Sciences de l'education;enCours;20-05-2009;25-06-2012;;s60094;non;26-09-2011;04-04-2016
Gabriela Scinteie;;Approche geographique des changements de l'organisation spatiale du littoral roumain;Louis Brigand;Brigand Louis;31294065;Brest;26403021;Geographie;enCours;19-09-2006;;;s60110;non;26-09-2011;17-04-2013
Oumar Sakho;;Etude juridique et critique des techniques de financement de la societe anonyme dans l'espace OHADA;Francois Feral;Feral Francois;28272471;Perpignan;26403692;Droit public;enCours;02-07-2009;29-09-2014;;s60119;non;26-09-2011;12-04-2016
Nicolas Schreck;;Les familles mulhousiennes au temps du reichsland (1871 - 1918) : declin ou renaissance;Nicolas Stoskopf;Stoskopf Nicolas;29734177;Mulhouse;26403250;Histoire;enCours;13-01-2009;;;s60121;non;26-09-2011;22-01-2015
Nora Schejtman;;L'amour au fondement du lien social;Christian Hoffmann;Hoffmann Christian;;Poitiers;26403765;Psychologie;enCours;25-01-2007;;;s58812;non;26-09-2011;22-01-2015
Estelle Ingrand (Varenne);;Langue de bois, de pierre et de verre. Histoire du langage epigraphique et de son passage du latin au francais (Ouest de la France XII-XIXeme siecle).;Cecile Treffort;Treffort Cecile;32548419;Poitiers;26403765;Histoire medievale;enCours;14-11-2007;29-03-2013;;s63674;non;26-09-2011;05-04-2016
Delphine Vitse;;Imputabilite et responsabilite penale (xixeme siecle et debut xxeme siecle).;Joel Hautebert;Hautebert Joel;06774043X;Angers;26402920;Histoire du droit et des institutions;enCours;13-12-2007;;;s63692;non;26-09-2011;05-04-2016
Sophie Rimbaud;;Etudes des strategies maternelles dans leur relation a l'acquisition : etude comparative dans les societes americaines et francaises;Harriet Jisa,Judy Reilly;Jisa Harriet,Reilly Judy;,;Lyon 2;02640334X;Sciences du langage - linguistique;enCours;;15-09-2015;;s57461;non;26-09-2011;16-12-2015
Helene Simon-loriere;;Conditions de vie et projets migratoires des refugies liberiens a Conakry (Guinee) et Accra (Ghana);Veronique Lassailly-Jacob,Monique Bertrand;Lassailly-Jacob Veronique,Bertrand Monique;50121111;Poitiers;26403765;Geographie;enCours;11-10-2007;13-12-2013;;s59205;non;26-09-2011;05-04-2016
Nicolas Sorba;;Evolution du concept de polynomie.;Jacques Thiers,Jean-Marie Comiti;Thiers Jacques,Comiti Jean-Marie;29734258,0521969;Corte;29473284;Etudes regionales (celtiques, corses, ...);enCours;18-12-2007;;;s59220;non;26-09-2011;05-04-2016
Guillaume Saint-didier;;La metallurgie du fer dans le Poitou de La Tene finale au Moyen Age central.;Nadine Dieudonne-Glad;Dieudonne-Glad Nadine;50241516;Poitiers;26403765;Archeologie;enCours;17-12-2007;28-11-2013;;s59222;non;26-09-2011;05-04-2016
Yongyu Tan;;La mise en tourisme de l'ile de hainan;Philippe Violiet,Jean-Rene Morice;Violiet Philippe,Morice Jean-Rene;0,066868599;Angers;26402920;Geographie;enCours;01-10-2008;;;s62783;non;26-09-2011;06-04-2016
Pierre antoine Tomasi;;Le pouvoir normatif regional : une approche comparative (italie, espagne, france).;Jean-Yves Coppolani,Jacques Bourdon;Coppolani Jean-Yves,Bourdon Jacques;77157427;Corte;29473284;Droit public;enCours;30-09-2010;;;s62794;non;26-09-2011;04-04-2016
Esther Thouvenin-boscus (Thouvenin);;L'estrif de science, nature et de fortune(1488) d'octovien de saint-gelais, edition critique et commentaire.;Frederic Duval;Duval Frederic;;Universite de Lorraine;157040569;Litteratures francaise et francophone;enCours;26-10-2010;;;s62803;non;26-09-2011;28-06-2013
Nicolas Thiburce;;Preuve penale et expertise scientifique: la question des empreintes digitales;Jean paul Jean,Christophe Champod;Jean Jean paul,Champod Christophe;,12054217X;Poitiers;26403765;Droit penal et sciences criminelles;enCours;14-10-2010;;;s62804;non;26-09-2011;09-05-2012
Adrien Van den bossche;;Contribution aux transports d'information a fortes contraintes temporelles sur un reseau sans fil.;Thierry Val,Eric Campo;Val Thierry,Campo Eric;113464657,095254;Toulouse 2;26403994;Mathematiques et informatique appliquees aux sciences sociales (miass);enCours;01-10-2004;06-07-2007;;s63280;non;26-09-2011;04-04-2016
Nicolas Verbeke;;Suivi d'objets en mouvements dans une sequence video;Nicole Vincent;Vincent Nicole;;Paris 5;26404788;Mathematiques et informatique appliquees aux sciences sociales (miass);enCours;01-09-2004;12-12-2007;;s63316;non;26-09-2011;02-07-2012
Karine Waldoch;;L'incapable majeur, son corps et le droit penal.;Bruno Py;Py Bruno;35115432;Universite de Lorraine;157040569;Droit penal et sciences criminelles;enCours;01-10-2005;;;s64455;non;26-09-2011;28-06-2013
Guihong Wang;;Changements institutionnels en chine et ouverture a la concurrence : le cas des indications geographiques.;Anne Isla,Bertil Sylvander;Isla Anne,Sylvander Bertil;61173096,0305566;Toulouse 1;26404354;Sciences economiques;enCours;01-11-2005;;;s64484;non;26-09-2011;22-01-2015
Yili Wang;;La chine en france : de l'image a la realite (1975-2006).;Gerard Siary;Siary Gerard;;Montpellier 3;26404702;Etudes chinoises;enCours;13-11-2006;;;s64505;non;26-09-2011;22-01-2015
Armando Torres fauaz;;Pouvoir princier et pratiques judiciaires. La generalisation des enquetes et la construction du pouvoir ducal en Bourgogne (XIIeme - XIIIeme siecles);Bruno Lemesle;Lemesle Bruno;;Dijon;02819005X;Histoire;enCours;26-10-2010;13-12-2014;;s62856;non;26-09-2011;24-06-2015
Gregory Wallerick;;L'oeuvre de la dynastie de bry : la representation des populations amerindiennes en europe;Rene Grevet;Grevet Rene;;Lille 3;26404524;Histoire;enCours;18-10-2006;09-12-2011;;s64522;non;26-09-2011;03-04-2016
Alexandra Wallner;;Perception des oeuvres d'art par les enfants d'age scolaire;Annick Weil-Barais;Weil-Barais Annick;30967252;Angers;26402920;Psychologie;enCours;01-12-2006;;;s64533;non;26-09-2011;04-04-2016
Caterina Zema;;L'oeuvre narrative de maurizio maggiani et antonio tabucchi.;Anne-Christine Faitrop-Porta;Faitrop-Porta Anne-Christine;29064449;Corte;29473284;Etudes romanes;enCours;14-11-2005;;;s65606;non;26-09-2011;06-04-2016
Marie-jose Legathe (Villeneuve);;Recherches des parodigmes d'une esthetique europeenne;Evelyne Toussaint;Toussaint Evelyne;;Pau;26403668;Sciences de l'art et esthetique;enCours;14-01-2010;;;s64049;non;26-09-2011;22-01-2015
Nicolas Videau;;Prefixation et phonologie de l'anglais : analyse lexicographique, phonetique et acoustique;Jean-Louis Duchet,Sylvie Hanote;Duchet Jean-Louis,Hanote Sylvie;026840871,06863403X;Poitiers;26403765;Etudes anglophones;enCours;15-10-2009;29-11-2013;;s64054;non;26-09-2011;05-04-2016
Nathalie Vallee;;L'imperativite et les objectifs du droit international prive;Andre Giudicelli,Francois-Xavier Morisset;Giudicelli Andre,Morisset Francois-Xavier;0,079497144;La Rochelle;35375043;Droit international;enCours;19-10-2009;;;s64057;non;26-09-2011;05-04-2016
Maguelone Vignes;;Se soigner dans la ville. Gestion urbaine de la sante et parcours urbains de soins de personnes vivant avec le VIH/sida. Approche comparative des cas de Bruxelles et Rouen;Daniele Carricaburu;Carricaburu Daniele;;Rouen;26403919;Sociologie, demographie;enCours;15-01-2010;23-01-2015;;s64060;non;26-09-2011;04-03-2016
Celine Viaud;;La mise en patrimoine de l'eau : enjeux identitaires et representations relatives aux valeurs d'usages de l'eau dans les zones de developpement touristique du maroc;Paul Pandolfi;Pandolfi Paul;57246009;Montpellier 3;26404702;Ethnologie;enCours;09-11-2009;;;s64061;non;26-09-2011;22-01-2015
Sacha Varin;;L'evaluation de la recherche fondamentale libre en suisse et les consequences sur les pratiques de recherche.;Andre Robert;Robert Andre;;Lyon 2;02640334X;Sciences de l'education;enCours;11-11-2009;09-10-2012;;s64095;non;26-09-2011;04-04-2016
Nurmukhammad Yusupov;;Essays in microfinance.;Andre Sobczak,Christophe Villa;Sobczak Andre,Villa Christophe;,;Nantes;26403447;Sciences de gestion;enCours;17-01-2007;21-06-2011;;s65132;non;26-09-2011;18-10-2011
Amy Yaly;;Elements sur les mecanismes de financement et d'assurance dans une economie en developpement avec epidemie;Laurent Augier;Augier Laurent;;Poitiers;26403765;Sciences economiques;enCours;28-11-2007;;;s65136;non;26-09-2011;22-01-2015
Andre Venitus;;Les implantations religieuses medievales de la ville de montmorillon a travers leur histoire, leur architecture.;Claude Andrault-Schmitt;Andrault-Schmitt Claude;35391251;Poitiers;26403765;Histoire de l'art;enCours;01-12-2005;;;s63339;non;26-09-2011;04-04-2016
Gregory Vacassy;;Territoire, reseaux et peuplement autour de l'agglomeration antique du castellas a murviel les montpellier (herault).;Claude Raynaud;Raynaud Claude;;Montpellier 3;26404702;Histoire de l'art;enCours;01-11-2004;;;s63348;non;26-09-2011;22-01-2015
Claudine Viala;;Les trois dit-mensions-trouees de la loi et de la jouissance dans le noeud borromeen de lacan.;Bernard Salignon;Salignon Bernard;32278632;Montpellier 3;26404702;Psychologie;enCours;01-11-2005;;;s63351;non;26-09-2011;22-01-2015
Marie Brunet (Yaya Doumbe);;Crime contre l'humanite et terrorisme;Michel Masse;Masse Michel;;Poitiers;26403765;Droit penal et sciences criminelles;enCours;23-09-2008;17-04-2014;;s65184;non;26-09-2011;08-06-2015
Anwar Youssef;;La mutation de la bourgeoisie francaise au xixe et au xxe siecle vue par les ecrivains contemporains;Michel Hau;Hau Michel;;Strasbourg;131056549;Histoire;enCours;23-10-2007;07-12-2011;;s65209;non;26-09-2011;16-01-2012
Hanene Benbrik (Yazid);;Les sources internationales en droit de l'union europeenne.;Marc Blanquet;Blanquet Marc;32075952;Toulouse 1;26404354;Droit public;enCours;01-10-2008;;;s65211;non;26-09-2011;22-01-2015
Nina benedicte Voko;;L'aliment en droit prive.;Isabelle Riassetto;Riassetto Isabelle;69304432;Strasbourg;131056549;Droit prive;enCours;01-10-2005;;;s63404;non;26-09-2011;22-01-2015
Arnaud Valiere;;Le tourisme sportif : analyse d'une realite sociale postmoderne.;Dominique Bodin;Bodin Dominique;;Rennes 2;54447658;Sciences du sport (staps);enCours;01-11-2005;;;s63410;non;26-09-2011;22-01-2015
Christian Vargas serna;;Etude des impacts environnementaux dans la foret seche au nord du perou.;Andre Humbert;Humbert Andre;;Universite de Lorraine;157040569;Geographie;enCours;01-10-2005;;;s63426;non;26-09-2011;28-06-2013
Ludovic Vestieu;;Appareils de renseignement menaces asymetriques et conflits de basse intensite.;Anne Mandeville;Mandeville Anne;;Toulouse 1;26404354;Science politique;enCours;01-11-2005;;;s63435;non;26-09-2011;22-01-2015
Loic Wagner;;L'Union europeenne et le droit international des subventions;Valerie Michel,Anne Klebes-pelissier;Michel Valerie,Klebes-pelissier Anne;,;Strasbourg;131056549;Droit public;enCours;26-11-2007;30-11-2013;;s64598;non;26-09-2011;01-07-2015
Magali Lesueur;;La fiscalisation du financement de la securite sociale en France.;Jean-Claude Martinez;Martinez Jean-Claude;34680888;Paris 2;26403145;Droit public;enCours;01-12-1999;;;s66282;non;26-09-2011;16-02-2012
Azarmidokhte Elahi-chirazi;;Evolution de l'instruction criminelle en iran (etude historique et penale);Andre Laingui;Laingui Andre;26961261;Paris 2;26403145;Histoire du droit;enCours;01-02-1979;;;s66305;non;26-09-2011;04-04-2016
Stephane Marchetti;;Les revoltes contre l'autorite au xviiie siecle : rebellions a justice et emotions populaires d'apres la jurisprudence du parlement de paris.;Yvonne Bongert;Bongert Yvonne;58706569;Paris 2;26403145;Histoire du droit et des institutions;enCours;01-04-1980;;;s66308;non;26-09-2011;04-04-2016
Marie-Laure Moreau;;Recherches sur les commissaires du gouvernement du Conseil d'Etat statuant au contencieux;Yves Gaudemet;Gaudemet Yves;26884054;Paris 2;26403145;Droit public;enCours;01-02-1981;;;s66310;non;26-09-2011;26-03-2013
Eric Martin;;L'abus de droit;Michelle Gobert;Gobert Michelle;30105498;Paris 2;26403145;Droit prive;enCours;01-01-1981;;;s66311;non;26-09-2011;16-02-2015
Elisabeth Guet;;La construction sur le sol d'autrui;Hugues Perinet-Marquet;Perinet-Marquet Hugues;29328675;Paris 2;26403145;Droit prive;enCours;01-05-1983;;;s66316;non;26-09-2011;17-03-2015
Tahmoures Eskandari;;Les hegemonies politiques et les relations inter-etatiques au moyen-orient.;Hugues Portelli;Portelli Hugues;27079872;Paris 2;26403145;Science politique;enCours;01-06-1984;;;s66320;non;26-09-2011;15-05-2015
Rosie Sandras (Simon);;Le statut des cures a la fin de l'ancien regime;Jean-Louis Harouel;Harouel Jean-Louis;26915057;Paris 2;26403145;Histoire du droit;enCours;01-07-1984;;;s66321;non;26-09-2011;04-04-2016
Maria Blanco;;Les Cumanagoto un peuple du Nord-est du Venezuela: une societe en quete de reconnaissance;Eric Navet;Navet Eric;29017815;Strasbourg;131056549;Ethnologie;enCours;01-11-1998;30-08-2011;;s66361;non;26-09-2011;04-04-2016
Brice Traineau;;Sources historiques, genealogiques et analyse critique de l'antipedagogie contemporaine;Michel Fabre,Pierre Kahn;Fabre Michel,Kahn Pierre;,;Nantes;26403447;Sciences de l'education;enCours;15-10-2010;07-11-2014;;s62889;non;26-09-2011;05-12-2014
Gloria Dauphin (Teai);;Tahiti entre terre, mer et pouvoir;Serge Dunis;Dunis Serge;28275802;Polynesie francaise;67101925;Etudes anglophones;enCours;11-12-2006;30-11-2012;;s62896;non;26-09-2011;07-05-2013
Melanie Texier;;Plurilinguisme et interculturalite : le processus de fabrication de la cohesion a la legion etrangere.;,Gudrun Ledegen;,Ledegen Gudrun;0,058862099;Rennes 2;54447658;Sciences du langage;enCours;14-11-2010;;;s62901;non;26-09-2011;25-11-2015
Thibault Warnet;;La connaissance du monde dans les sources armeniennes au moyen age.;Gerard Dedeyan,Gilles Grivaud;Dedeyan Gerard,Grivaud Gilles;60151900,0567825;Montpellier 3;26404702;Histoire medievale;enCours;11-10-2007;;;s64628;non;26-09-2011;05-04-2016
Dwi Winarsih;;Mecanismes d'encheres sur les marches agricoles de la province de java central en indonesie;Laurent Augier;Augier Laurent;;Poitiers;26403765;Sciences economiques;enCours;25-11-2008;;;s64667;non;26-09-2011;22-01-2015
Marie Thomas;;La vulnerabilite au risque d'inondation dans les metropoles japonaises : le cas de nagoya.;Jean-Paul Metailie;Metailie Jean-Paul;27025462;Toulouse 2;26403994;Geographie;enCours;01-10-2010;;;s62962;non;26-09-2011;04-04-2016
Julie Tisseron;;Innovation, environnement et developpement territorial au quebec.;Regis Guillaume;Guillaume Regis;88768309;Toulouse 2;26403994;Geographie;enCours;01-10-2010;;;s62964;non;26-09-2011;04-04-2016
Shuying Zhang;;L'interculturalite dans les manuels de fle utilises en chine. quelle adequation avec les besoins des jeunes generations chinoises.;Marie-francoise Narcy-combes;Narcy-combes Marie-francoise;;Nantes;26403447;Sciences du langage;enCours;13-03-2009;24-03-2014;;s65762;non;26-09-2011;02-03-2015
Radusa Zizic;;Edition et etude litteraire du genre romanesque a la fin du moyen age;Stephen Morisson;Morisson Stephen;;Poitiers;26403765;Etudes anglophones;enCours;11-11-2008;;;s65764;non;26-09-2011;26-01-2012
Hala Saranik (Zubidah);;Approche socio-educative et psychologique des familles en Syrie et en France : etude des structures familiales et des styles educatifs;Marie Anaut;Anaut Marie;30882494;Lyon 2;02640334X;Sciences de l'education;enCours;20-05-2009;19-09-2014;;s65795;non;26-09-2011;04-04-2016
Julie Verger;;Arbitrage et droit public.;Stephane Braconnier;Braconnier Stephane;35514876;Poitiers;26403765;Droit prive;enCours;01-05-2006;;;s63452;non;26-09-2011;04-04-2016
Celine Viala;;Mise en oeuvre de la dynamique d'innovation intrapreuneriale dans les organisations;Bruno Amann;Amann Bruno;31230148;Paris 9;27787109;Sciences de gestion;enCours;01-09-2005;07-12-2009;;s63465;non;26-09-2011;13-02-2012
